time,top_1,top_5
0.0834,False,False
0.1668,False,False
0.2503,False,False
0.3337,False,False
0.4171,False,False
0.5005,False,False
0.5839,False,False
0.6673,False,False
0.7508,False,False
0.8342,False,True
1.2512,False,True
1.3347,False,True
1.4181,False,True
1.5015,False,True
1.5849,False,True
1.6683,False,True
1.7518,False,True
1.8352,False,False
1.9186,False,False
2.002,False,False
2.0854,False,False
2.1688,False,False
2.2523,False,False
2.3357,False,False
2.4191,False,False
2.5025,False,False
2.5859,False,False
2.6693,False,False
2.7528,False,False
2.8362,False,False
2.9196,False,False
3.003,False,False
3.0864,False,False
3.1698,False,False
3.2532,False,False
3.3367,False,False
3.4201,False,False
3.5035,False,False
3.5869,False,True
3.6703,False,True
3.7538,False,True
3.8372,False,True
3.9206,False,True
4.004,False,True
4.0874,False,True
4.1708,False,True
4.2542,True,True
4.3377,True,True
4.4211,True,True
4.5045,True,True
4.5879,False,True
4.6713,False,True
4.7548,False,True
4.8382,False,False
4.9216,False,False
5.005,False,False
5.0884,False,False
5.1718,False,False
5.2553,False,False
5.3387,False,False
5.4221,False,False
5.5055,False,False
5.5889,False,False
5.6723,False,False
5.7557,False,False
5.8392,False,False
5.9226,False,False
6.006,False,False
6.0894,False,False
6.1728,False,False
6.2563,False,False
6.3397,False,False
6.4231,False,False
6.5065,False,False
6.5899,False,False
6.6733,False,False
6.7568,False,False
6.8402,False,False
6.9236,False,False
7.007,True,True
7.0904,True,True
7.1738,True,True
7.2572,True,True
7.3407,True,True
7.4241,True,True
7.5075,True,True
7.5909,True,True
7.6743,True,True
7.7577,True,True
7.8412,True,True
7.9246,True,True
8.008,True,True
8.0914,True,True
8.1748,False,True
8.2583,False,True
8.3417,False,True
8.4251,False,True
8.5085,False,True
8.5919,False,True
8.6753,False,True
8.7588,False,True
8.8422,False,True
8.9256,False,True
9.009,False,True
9.0924,False,True
9.1758,False,True
9.2592,False,True
9.3427,False,True
9.4261,False,True
9.5095,False,True
9.5929,False,True
9.6763,False,True
9.7598,False,True
9.8432,False,True
9.9266,False,True
10.01,False,True
10.0934,False,True
10.1768,False,True
10.2603,False,True
10.3437,False,True
10.4271,False,True
10.5105,False,True
10.5939,False,True
10.6773,False,True
10.7607,False,True
10.8442,False,True
10.9276,False,True
11.011,False,True
11.0944,False,False
11.1778,False,False
11.2613,False,True
11.3447,False,True
11.4281,False,True
11.5115,False,True
11.5949,False,True
11.6783,False,True
11.7618,False,True
11.8452,False,True
11.9286,False,True
12.012,False,True
12.0954,False,True
12.1788,False,True
12.2622,False,True
12.3457,False,True
12.4291,False,True
12.5125,False,True
12.5959,False,True
12.6793,False,True
12.7628,False,True
12.8462,False,True
12.9296,False,True
13.013,False,True
13.0964,False,True
13.1798,False,True
13.2633,False,True
13.3467,False,True
13.4301,False,True
13.5135,False,True
13.5969,False,True
13.6803,False,True
13.7637,False,True
13.8472,False,True
13.9306,False,True
14.014,True,True
14.0974,True,True
14.1808,True,True
14.2643,True,True
14.3477,True,True
14.4311,True,True
14.5145,True,True
14.5979,True,True
14.6813,False,True
14.7648,True,True
14.8482,True,True
14.9316,True,True
15.015,True,True
15.0984,True,True
15.1818,True,True
15.2652,True,True
15.3487,True,True
15.4321,True,True
15.5155,False,True
15.5989,False,True
15.6823,False,True
15.7658,False,True
15.8492,False,True
15.9326,False,True
16.016,False,True
16.0994,False,True
16.1828,False,True
16.2662,False,True
16.3497,False,True
16.4331,False,True
16.5165,False,True
16.5999,False,True
16.6833,False,True
16.7668,False,True
16.8502,False,True
16.9336,False,True
17.017,False,False
17.1004,False,False
17.1838,False,False
17.2673,False,False
17.3507,False,False
17.4341,False,False
17.5175,False,False
17.6009,False,False
17.6843,False,False
17.7677,False,False
17.8512,False,False
17.9346,False,False
18.018,False,False
18.1014,False,False
18.1848,False,False
18.2683,False,False
18.3517,False,False
18.4351,False,False
18.5185,False,False
18.6019,False,False
18.6853,False,False
18.7688,False,False
18.8522,False,False
18.9356,False,False
19.019,False,True
19.1024,False,True
19.1858,False,True
19.2692,False,True
19.3527,True,True
19.4361,True,True
19.5195,True,True
19.6029,True,True
19.6863,True,True
19.7698,True,True
19.8532,True,True
19.9366,True,True
20.02,False,True
20.1034,False,True
20.1868,False,True
20.2703,False,True
20.3537,False,True
20.4371,False,True
20.5205,False,True
20.6039,False,True
20.6873,False,True
20.7707,False,True
20.8542,False,True
20.9376,False,True
21.021,False,True
21.1044,False,True
21.1878,False,True
21.2713,True,True
21.3547,True,True
21.4381,True,True
21.5215,True,True
21.6049,True,True
21.6883,True,True
21.7718,True,True
21.8552,True,True
21.9386,False,True
22.022,False,True
22.1054,False,True
22.1888,False,True
22.2722,False,True
22.3557,False,True
22.4391,False,True
22.5225,False,True
22.6059,False,True
22.6893,False,True
22.7728,False,True
22.8562,False,True
22.9396,False,True
23.023,False,True
23.1064,False,True
23.1898,False,True
23.2733,False,True
