time,gt,no action,open drawer,pick up bowl,put cereal box,open fridge,pick up milk bottle,close fridge,open milk bottle,pour milk into bowl with cereals,still pouring milk,pour milk,put lid on milk bottle,turn on tap,put milk in fridge,pick up ham,pick up salads,put down salad and ham,pick up plate,put down plate,open salad packaging,pour salad into bowl,still pouring salad into bowl,rinse bowl,close salad packaging,pick up clip,clip salad packaging,put salad in fridge,open cupboard,pick up bread,close cupboard,put down bread,turn off tap,pick up sauce,open sauce,pour sauce over salad,close sauce,pick up tissue,wipe sauce with tissue,put down sauce,put tissue in bin,open dishwasher,put down bowl,pick up fork,close drawer,close dishwasher,put fork,pick up cereal bowl,pick up salad bowl,put down bowls,put down fork,pick up breads,pick up cereal box,move chair,sit on chair,take slice of bread from bread packaging,put bread in bowl,take ham from ham packaging,put ham between bread slices,put sandwich in bowl,put ham in fridge,open cereal box,pour cereals into bowl,close cereal box
0.0834,no action,0.0046,0.0603,0.013,0.0038,0.0252,0.0092,0.0242,0.0147,0.0001,0.0004,0.0025,0.0019,0.0724,0.0048,0.0007,0.0679,0.0048,0.0072,0.0032,0.0076,0.0021,0.0024,0.0057,0.0029,0.0163,0.0007,0.0035,0.1013,0.0071,0.0527,0.001,0.0718,0.0114,0.003,0.0,0.0023,0.0013,0.0001,0.0079,0.0067,0.0732,0.0118,0.0361,0.0472,0.0865,0.006,0.0032,0.0455,0.0076,0.0048,0.0042,0.0063,0.0167,0.0137,0.0,0.0001,0.0004,0.0002,0.0001,0.0018,0.0031,0.0,0.0025
0.1668,no action,0.0029,0.0351,0.0195,0.0024,0.0234,0.008,0.0221,0.0136,0.0002,0.0005,0.0029,0.0017,0.0952,0.0038,0.0011,0.0983,0.0062,0.0141,0.0067,0.0116,0.0035,0.0044,0.0081,0.0042,0.0129,0.0007,0.0027,0.0563,0.0098,0.0348,0.0013,0.0929,0.0151,0.0031,0.0,0.0028,0.0027,0.0001,0.0097,0.0062,0.0476,0.017,0.0414,0.0313,0.0642,0.0062,0.0021,0.0774,0.0072,0.008,0.0063,0.0041,0.0207,0.0196,0.0,0.0001,0.0004,0.0002,0.0001,0.0018,0.0019,0.0001,0.0017
0.2503,no action,0.0041,0.0433,0.0182,0.0045,0.0309,0.0107,0.0268,0.0158,0.0002,0.0009,0.0031,0.0015,0.0794,0.0047,0.002,0.0963,0.0073,0.0178,0.007,0.0162,0.0028,0.0051,0.0074,0.0057,0.0105,0.0008,0.0029,0.0767,0.0125,0.0421,0.0013,0.0807,0.0124,0.0026,0.0,0.0022,0.0028,0.0001,0.0069,0.0048,0.0438,0.0127,0.0551,0.036,0.0515,0.0067,0.0031,0.0578,0.0046,0.0086,0.0071,0.0057,0.0128,0.0136,0.0,0.0001,0.0007,0.0002,0.0001,0.0028,0.003,0.0001,0.0032
0.3337,no action,0.0043,0.0488,0.0197,0.0047,0.0308,0.0105,0.0283,0.0154,0.0002,0.0008,0.0035,0.0015,0.0779,0.0045,0.0021,0.0901,0.009,0.0193,0.0075,0.0162,0.0031,0.0049,0.0085,0.0062,0.0112,0.0009,0.003,0.0726,0.0124,0.0417,0.0014,0.0784,0.0117,0.0021,0.0,0.0018,0.0026,0.0001,0.007,0.0042,0.0375,0.0149,0.0563,0.041,0.045,0.0071,0.0031,0.0609,0.0061,0.0093,0.0066,0.0057,0.0134,0.0138,0.0,0.0001,0.0007,0.0002,0.0001,0.0029,0.0032,0.0001,0.0033
0.4171,no action,0.0039,0.0421,0.024,0.0047,0.0338,0.0118,0.032,0.018,0.0002,0.0008,0.0032,0.0019,0.0719,0.0056,0.0022,0.0873,0.0107,0.0196,0.008,0.0174,0.0029,0.0044,0.0084,0.007,0.0119,0.0009,0.0034,0.0733,0.0121,0.0458,0.0015,0.0742,0.0118,0.0019,0.0,0.0017,0.0026,0.0001,0.0075,0.0042,0.0305,0.0183,0.0617,0.0369,0.0376,0.0073,0.0033,0.0572,0.0078,0.0109,0.0074,0.006,0.0131,0.0157,0.0,0.0001,0.001,0.0002,0.0001,0.0036,0.0032,0.0001,0.0035
0.5005,no action,0.0037,0.0328,0.0271,0.0048,0.0336,0.0112,0.0349,0.0175,0.0002,0.0007,0.0031,0.0019,0.0725,0.0057,0.0028,0.1001,0.0143,0.0226,0.0097,0.0218,0.003,0.0045,0.009,0.0096,0.0124,0.0011,0.0036,0.0631,0.0131,0.0436,0.0017,0.0741,0.0119,0.0015,0.0,0.0015,0.003,0.0001,0.0076,0.0042,0.0226,0.0213,0.0541,0.0308,0.0297,0.0065,0.0033,0.0624,0.0102,0.0104,0.0087,0.0057,0.0136,0.0181,0.0,0.0001,0.0013,0.0003,0.0001,0.0044,0.0031,0.0001,0.0038
0.5839,no action,0.0043,0.0291,0.0301,0.0059,0.0381,0.013,0.0398,0.0195,0.0003,0.0008,0.0036,0.0022,0.0539,0.0069,0.0036,0.1032,0.0195,0.026,0.0112,0.025,0.0029,0.0046,0.0076,0.0108,0.0131,0.0016,0.0044,0.0597,0.0184,0.0434,0.0024,0.0524,0.0141,0.0017,0.0,0.0017,0.0033,0.0001,0.0087,0.0045,0.0202,0.0226,0.0518,0.028,0.0275,0.0066,0.0042,0.0559,0.0125,0.0095,0.0108,0.0071,0.013,0.0213,0.0,0.0002,0.0019,0.0005,0.0001,0.0058,0.0038,0.0001,0.0048
0.6673,no action,0.0046,0.0286,0.03,0.0069,0.0352,0.0149,0.0369,0.0219,0.0003,0.0009,0.0041,0.0027,0.0488,0.007,0.0042,0.1042,0.0241,0.0261,0.0119,0.0274,0.0029,0.0047,0.0063,0.0116,0.0125,0.0018,0.0048,0.0567,0.0218,0.0423,0.003,0.0469,0.0162,0.0018,0.0,0.0019,0.0033,0.0001,0.01,0.0048,0.0182,0.0237,0.0487,0.0279,0.0254,0.0069,0.0053,0.0499,0.014,0.0089,0.0122,0.0092,0.0114,0.0244,0.0,0.0002,0.0024,0.0006,0.0001,0.0061,0.0044,0.0001,0.0056
0.7508,no action,0.0046,0.0272,0.0322,0.0068,0.0348,0.0156,0.0369,0.0227,0.0004,0.001,0.0043,0.0032,0.0446,0.0069,0.0042,0.0997,0.0282,0.0276,0.0127,0.0295,0.0032,0.0051,0.0052,0.0127,0.0124,0.002,0.0052,0.057,0.0224,0.0421,0.0031,0.0424,0.0171,0.0019,0.0,0.0019,0.0031,0.0001,0.0106,0.0046,0.017,0.0261,0.05,0.0263,0.0247,0.0071,0.0053,0.0451,0.0149,0.0091,0.0129,0.0091,0.0104,0.0267,0.0,0.0002,0.0026,0.0006,0.0002,0.0065,0.0042,0.0001,0.0056
0.8342,no action,0.0041,0.0259,0.031,0.0065,0.0386,0.0149,0.0413,0.0217,0.0004,0.0011,0.0046,0.0031,0.0415,0.0074,0.0044,0.0972,0.0313,0.0267,0.0133,0.0323,0.0037,0.0056,0.0038,0.0139,0.013,0.0021,0.006,0.0563,0.0233,0.0428,0.0034,0.0389,0.018,0.002,0.0,0.002,0.0032,0.0001,0.0116,0.0044,0.0138,0.0256,0.0502,0.0253,0.02,0.007,0.005,0.0455,0.0149,0.0097,0.0134,0.0089,0.0099,0.028,0.0001,0.0003,0.0028,0.0007,0.0002,0.0074,0.0039,0.0002,0.0055
0.9176,no action,0.0036,0.0226,0.0306,0.0074,0.0415,0.0161,0.045,0.0238,0.0006,0.0013,0.0053,0.0037,0.0303,0.0084,0.0053,0.0948,0.042,0.0262,0.014,0.0399,0.0038,0.0062,0.0028,0.0179,0.0127,0.0026,0.0068,0.0511,0.0273,0.0408,0.0043,0.0286,0.0181,0.0019,0.0,0.002,0.0033,0.0002,0.0123,0.0044,0.0101,0.0267,0.0492,0.0225,0.0153,0.0071,0.0055,0.0391,0.0153,0.0105,0.0158,0.0099,0.0081,0.0299,0.0001,0.0003,0.0038,0.0009,0.0002,0.0096,0.0042,0.0002,0.0064
1.001,open drawer,0.0035,0.0225,0.0295,0.0087,0.0425,0.019,0.0467,0.0271,0.0007,0.0014,0.0057,0.0042,0.0215,0.0096,0.0062,0.0923,0.0525,0.024,0.0127,0.0429,0.0034,0.0055,0.0019,0.02,0.014,0.0031,0.0081,0.0495,0.0287,0.039,0.0049,0.0204,0.0177,0.0016,0.0,0.0016,0.003,0.0002,0.0124,0.0044,0.0084,0.0257,0.0512,0.022,0.0125,0.0068,0.0065,0.0304,0.0161,0.0098,0.0177,0.0118,0.0063,0.03,0.0001,0.0004,0.0052,0.0012,0.0003,0.0123,0.0048,0.0002,0.0078
