time,Use butter,Scoop nut,Scoop butter,Spread nut,Spread butter,Spread onto,Spread tortilla,Scoop jelly,Spread jelly,Roll tortilla,Secure rolled,Secure tortilla,Trim tortilla,Trim roll,Slide floss,Slide tortilla,Place floss,Cross floss,Cross tortilla,Cross roll,Holding floss,Pull floss,Continue floss,Place pinwheels
0.2,0.0184,0.0051,0.0019,0.0022,0.0004,0.0012,0.0004,0.0023,0.0011,0.0168,0.392,0.008,0.0011,0.0115,0.0177,0.0165,0.0654,0.0185,0.0086,0.1525,0.0265,0.0211,0.0109,0.1999
0.4,0.0205,0.0055,0.002,0.0024,0.0004,0.0013,0.0004,0.0023,0.0012,0.0166,0.3712,0.008,0.0011,0.0111,0.02,0.0178,0.0686,0.0195,0.0085,0.1499,0.0281,0.0217,0.0111,0.211
0.6,0.0134,0.0049,0.0015,0.0017,0.0003,0.0008,0.0003,0.0025,0.001,0.0113,0.4432,0.0066,0.0009,0.009,0.0172,0.013,0.0571,0.0197,0.0073,0.1168,0.0293,0.0236,0.0098,0.2087
0.8,0.0102,0.0047,0.0013,0.0016,0.0003,0.0007,0.0003,0.0025,0.0011,0.0095,0.4582,0.0064,0.0009,0.008,0.0165,0.0108,0.0549,0.0212,0.0072,0.103,0.031,0.0272,0.0112,0.2113
1.0,0.0085,0.0044,0.0011,0.0014,0.0002,0.0007,0.0003,0.0025,0.0011,0.0085,0.469,0.0063,0.0009,0.0075,0.0162,0.0098,0.0528,0.0218,0.0072,0.0953,0.0314,0.0294,0.012,0.2116
1.2,0.0083,0.0045,0.0011,0.0014,0.0002,0.0006,0.0003,0.0025,0.0011,0.0087,0.4612,0.0064,0.0009,0.0077,0.0142,0.0092,0.0555,0.0215,0.0072,0.0945,0.0318,0.0291,0.0121,0.2201
1.4,0.0077,0.0043,0.0011,0.0015,0.0003,0.0007,0.0003,0.0024,0.0011,0.0087,0.461,0.0063,0.0009,0.0077,0.0126,0.0087,0.0568,0.0206,0.007,0.094,0.0302,0.0278,0.0116,0.2269
1.6,0.0072,0.0041,0.001,0.0015,0.0003,0.0007,0.0003,0.0022,0.0011,0.0085,0.4598,0.0062,0.0009,0.0077,0.0117,0.0084,0.0579,0.0198,0.0068,0.0935,0.0291,0.0267,0.0112,0.2336
1.8,0.0069,0.0041,0.001,0.0015,0.0003,0.0007,0.0003,0.0022,0.0011,0.0085,0.4546,0.0062,0.0009,0.0081,0.0112,0.0085,0.0588,0.02,0.0069,0.0904,0.0297,0.0259,0.0113,0.2408
2.0,0.0068,0.0041,0.001,0.0016,0.0003,0.0008,0.0003,0.0023,0.0011,0.0087,0.4499,0.0063,0.0009,0.0085,0.0107,0.0087,0.0595,0.0202,0.007,0.0898,0.0302,0.0251,0.0114,0.2448
2.2,0.0057,0.0041,0.0009,0.0017,0.0003,0.0007,0.0003,0.0022,0.0012,0.0083,0.4316,0.0063,0.001,0.008,0.0098,0.0083,0.0653,0.0206,0.007,0.0786,0.0318,0.0253,0.0119,0.2692
2.4,0.0047,0.004,0.0008,0.0017,0.0002,0.0007,0.0003,0.0022,0.0012,0.0078,0.4163,0.0063,0.0011,0.0075,0.0087,0.0078,0.0706,0.0207,0.007,0.0686,0.033,0.0253,0.0122,0.2913
